Country Name,Code,2013,2014,2015,2016,2017,2018,2019,Region
"Egypt, Arab Rep.",EGY,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.174,249712999437.254,303080865603.645,Africa
Euro area,EMU,13191652296932.5,13490997038990.6,11669741216577.3,11964468804660.3,12646241353753.9,13692226055585.5,13413568065812.5,
Eritrea,ERI,,,,,,,,Africa
Spain,ESP,1354757433212.72,1369398844599.58,1195119269971.52,1232076017361.53,1309297246509.31,1420300232663.59,1393046093137.25,Europe
Estonia,EST,25108615091.9884,26598657880.5486,22881558191.8523,24056487770.898,26857880621.935,30474612057.4484,31045591753.4901,Europe
Ethiopia,ETH,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412,Africa
European Union,EUU,15296013552373.2,15634241267477.3,13547247755711.5,13885155820999.3,14734764528614.8,15971540026258.9,15689357247344.5,
Fragile and conflict affected situations,FCS,1806534337271.99,1958696313708.41,1560339195776.8,1407794580336.84,1440153462302.17,1572829705560.61,1661765815317.45,
Finland,FIN,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255016517537.983,275580448365.235,268508200125.49,Europe
Fiji,FJI,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5581371847.61641,5496264766.37285,Oceania
France,FRA,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2588740901639.81,2789593979064.58,2728870246705.88,Europe
Faroe Islands,FRO,2627049837.08135,2850743875.2784,2518096285.61661,2738832687.13698,2899226097.62377,3051341335.9516,3126293219.77989,Europe
"Micronesia, Fed. Sts.",FSM,317214400.0,319271200.0,316489900.0,332265200.0,366666800.0,401932300.0,408057100.0,Oceania
Gabon,GAB,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16867325126.5423,16874405839.7948,Africa
United Kingdom,GBR,2803291406029.93,3087165602962.86,2956573778737.76,2722851958486.23,2699016715111.39,2900791442554.06,2878673912414.44,Europe
Georgia,GEO,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583,Eurasia
Ghana,GHA,62823043706.4702,54782847752.5375,49406568432.6711,56165172898.8695,60406382898.5174,67299280679.563,68337537815.7703,Africa
Gibraltar,GIB,,,,,,,,Europe
Guinea,GIN,8376613843.27265,8778473614.54728,8794202443.67366,8595955581.21787,10324668266.5921,11857030336.5252,13513809258.2131,Africa
